text,label
barang dikirim dari kota apa pls,shipping_origin
stok getter robo masih ada min,stock_availability
ada cashback untuk chogokin gx?,price_promo
butuh rekomendasi voltron buat koleksi,product_discovery
pakai ekspedisi apa kak,shipping_transaction
rekomendasi chogokin gx yang bagus,product_discovery
grendizer ada ga min,product_discovery
daimos ini original bandai?,product_detail
kirim dari kota apa,shipping_origin
sisa stok daimos berapa,stock_availability
alamat toko robot jadul dimana,shipping_origin
dancouga habis atau masih ada,stock_availability
checkoutnya gimana ya,shipping_transaction
ready ga gundam rx 78,stock_availability
ukuran gundam berapa ya,product_detail
pengiriman ke bogor bisa?,shipping_transaction
versi chogokin gx ini versi apa,product_detail
masih tersedia combattler v?,stock_availability
berat dan dimensi gundam rx 78 berapa ya,product_detail
kirim dari kota apa,shipping_origin
getter robo ini harganya brp,price_promo
berat dan dimensi daitarn 3 berapa,product_detail
versi getter robo ini versi apa,product_detail
cara beli dancouga gmna,shipping_transaction
detail chogokin gx ini gimana,product_detail
produk gaiking di bawah 1 juta ada?,price_promo
prduk gundam rx 78 di bawah 1 juta ada?,price_promo
isi box getter robo apa saja nih,product_detail
dikirim dari mana ya,shipping_origin
pengiriman dari jakarta? sekarang,shipping_origin
asal barang dari mana sekarang,shipping_origin
cara checkout gimana ya,shipping_transaction
detail lengkap combattler v dong,product_detail
bisa cod ga nih,shipping_transaction
rekomendasi gundam rx 78 yang bagus,product_discovery
kirim dari kota apa kak,shipping_origin
store location dimana kak,shipping_origin
lagi sale grendizer?,price_promo
metode pembayaran apa,shipping_transaction
lagi ada diskon dancouga?,price_promo
chckoutnya gimana ya,shipping_transaction
metode pembayaran apa pls,shipping_transaction
asal pengiriman dari mana pls,shipping_origin
ukuran grendizer berapa,product_detail
getter robo ini ori atau kw,product_detail
lagi cari gundam rx 78,product_discovery
ambil di toko bisa ga ya,shipping_transaction
tahun rilis dancouga ini kapan,product_detail
ready ga ideon,stock_availability
gudang robot jadul dimana,shipping_origin
mohon rekomendasi mazinger z untuk koleksi,product_discovery
bisa transfer bank,shipping_transaction
goldrake ada potongan harga?,price_promo
